instance_id,feature_set,seed,position,feature,shap_value,decision,is_trap
loan3_00,3feat,42,1,Loan_Amount,-0.43,approved,True
loan3_00,3feat,42,2,Credit_Score,-0.1,approved,True
loan3_00,3feat,42,3,Employment_Length,0.59,approved,True
loan3_01,3feat,42,1,Debt_Ratio,-0.56,approved,True
loan3_01,3feat,42,2,Employment_Length,0.4,approved,True
loan3_01,3feat,42,3,Recent_Inquiries,0.5,approved,True
loan3_02,3feat,42,1,Credit_Score,0.4,approved,True
loan3_02,3feat,42,2,Recent_Inquiries,-0.47,approved,True
loan3_02,3feat,42,3,Loan_Amount,0.24,approved,True
loan3_03,3feat,42,1,Annual_Income,-0.07,approved,True
loan3_03,3feat,42,2,Employment_Length,-0.13,approved,True
loan3_03,3feat,42,3,Recent_Inquiries,0.43,approved,True
loan3_04,3feat,42,1,Recent_Inquiries,0.15,denied,True
loan3_04,3feat,42,2,Debt_Ratio,0.12,denied,True
loan3_04,3feat,42,3,Employment_Length,-0.31,denied,True
loan3_05,3feat,42,1,Debt_Ratio,-0.22,denied,True
loan3_05,3feat,42,2,Recent_Inquiries,0.51,denied,True
loan3_05,3feat,42,3,Credit_Score,-0.49,denied,True
loan3_06,3feat,42,1,Employment_Length,0.05,denied,True
loan3_06,3feat,42,2,Annual_Income,-0.48,denied,True
loan3_06,3feat,42,3,Credit_Score,0.42,denied,True
loan3_07,3feat,42,1,Debt_Ratio,-0.11,denied,True
loan3_07,3feat,42,2,Loan_Amount,-0.42,denied,True
loan3_07,3feat,42,3,Employment_Length,0.31,denied,True
loan3_08,3feat,42,1,Credit_Score,0.2,denied,True
loan3_08,3feat,42,2,Annual_Income,-0.21,denied,True
loan3_08,3feat,42,3,Loan_Amount,-0.41,denied,True
loan3_09,3feat,42,1,Employment_Length,-0.14,denied,True
loan3_09,3feat,42,2,Loan_Amount,0.06,denied,True
loan3_09,3feat,42,3,Debt_Ratio,-0.1,denied,True
loan3_10,3feat,42,1,Debt_Ratio,-0.3,denied,True
loan3_10,3feat,42,2,Loan_Amount,0.26,denied,True
loan3_10,3feat,42,3,Employment_Length,-0.22,denied,True
loan3_11,3feat,42,1,Annual_Income,-0.55,denied,True
loan3_11,3feat,42,2,Credit_Score,-0.43,denied,True
loan3_11,3feat,42,3,Recent_Inquiries,0.2,denied,True
loan3_12,3feat,42,1,Recent_Inquiries,-0.1,approved,True
loan3_12,3feat,42,2,Employment_Length,0.55,approved,True
loan3_12,3feat,42,3,Debt_Ratio,-0.3,approved,True
loan3_13,3feat,42,1,Annual_Income,0.47,approved,True
loan3_13,3feat,42,2,Loan_Amount,-0.45,approved,True
loan3_13,3feat,42,3,Debt_Ratio,0.29,approved,True
loan3_14,3feat,42,1,Employment_Length,-0.07,approved,True
loan3_14,3feat,42,2,Debt_Ratio,0.32,approved,True
loan3_14,3feat,42,3,Credit_Score,-0.23,approved,True
loan3_15,3feat,42,1,Annual_Income,0.37,approved,True
loan3_15,3feat,42,2,Employment_Length,0.24,approved,True
loan3_15,3feat,42,3,Credit_Score,-0.38,approved,True
loan3_16,3feat,42,1,Employment_Length,0.32,approved,True
loan3_16,3feat,42,2,Credit_Score,-0.57,approved,True
loan3_16,3feat,42,3,Annual_Income,0.36,approved,True
loan3_17,3feat,42,1,Employment_Length,0.06,approved,True
loan3_17,3feat,42,2,Loan_Amount,-0.5,approved,True
loan3_17,3feat,42,3,Annual_Income,0.54,approved,True
loan3_18,3feat,42,1,Credit_Score,0.41,approved,True
loan3_18,3feat,42,2,Annual_Income,-0.45,approved,True
